Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,,,Weather data not available
Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,,,Weather data not available
Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,,,Weather data not available
Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,,,Weather data not available
K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Juanes,2/14/2024,The Moore Theatre,Music,Downtown,,,Weather data not available
Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,,,Weather data not available
Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown,,,Weather data not available
The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,,,Weather data not available
